Timestamp,Distance_cm,Temp_C,Gas_Status,System_Mode
12:43:17.995725,15,30.7,ALERT,HAZARD
12:43:18.245931,15,30.7,ALERT,HAZARD
12:43:18.504703,15,30.7,ALERT,HAZARD
12:43:18.781309,15,30.7,ALERT,HAZARD
12:43:19.066153,15,30.7,OK,SAFE
12:43:19.245105,15,30.7,OK,SAFE
12:43:19.494769,15,30.7,OK,SAFE
12:43:19.744844,15,30.7,OK,SAFE
12:43:19.995582,15,30.6,OK,SAFE
12:43:20.248737,15,30.6,OK,SAFE
12:43:20.549413,15,30.6,OK,SAFE
12:43:20.773032,15,30.6,OK,SAFE
12:43:21.070917,15,30.6,OK,SAFE
12:43:21.245263,15,30.6,OK,SAFE
12:43:21.494948,15,30.6,OK,SAFE
12:43:21.745454,15,30.6,OK,SAFE
12:43:21.995283,15,30.6,OK,SAFE
12:43:22.247828,15,30.6,OK,SAFE
12:43:22.545746,15,30.6,OK,SAFE
12:43:22.750342,15,30.6,OK,SAFE
12:43:23.021855,15,30.6,OK,SAFE
